SMILES,Formula,Exact_Mol_Wt,Iso_Wts,Mult
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@@](C(=O)C([H])([H])C([H])[H])(C([H])([H])[H])C2[H])[C@]1C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C([H])[H])C([H])[C@]1C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])C2([H])C([H])([H])C([H])([H])C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])[C@]1C([H])([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C18H28O2,276.20893013600056,"276.20893014396, 277.21228497916, 278.21563981436",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])[C@@](C([H])([H])[H])C1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C2([H])C1([H])C([H])([H])C([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
[C@@]1(C([H])([H])[H])C([H])C([H])([H])C([H])([H])C2([H])C1([H])C([H])([H])C([H])([H])[C@]1(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C21[H],C15H22O,218.167065324,"218.16706533014002, 219.17042016534003, 220.17377500054",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])[H],C4H8O,72.057514876,"72.05751487836, 73.06086971356001",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])(C([H])([H])C([H])[H])[C@@](C([H])([H])[H])C1([H])C([H])C2([H])C([H])([H])C([H])([H])C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])(C([H])[H])[C@@](C([H])([H])[H])C1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C2([H])C1([H])C([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O)C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@](O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
